listing_id,price,nbhood_full,host_name,last_review,description,room_type
26520,125 dollars,"Brooklyn, Clinton Hill",Erica,June 02 2019,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room
26969,325 dollars,"Brooklyn, Williamsburg",Alexandra,June 23 2019,2 story family home in Williamsburg,Entire home/apt
27006,235 dollars,"Manhattan, Upper West Side",Stacy,April 27 2019,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt
27385,225 dollars,"Manhattan, East Village",Bruce,June 07 2019,Great Large 1 BR apt  in East Village!,Entire home/apt
27531,99 dollars,"Brooklyn, South Slope",Evelyn,May 20 2019,Eveland Private Bed & Living Room w/ Own Entrance,private room
27644,170 dollars,"Manhattan, Harlem",Emma,July 01 2019,Sugar Hill Rest Stop,Entire home/apt
27759,170 dollars,"Manhattan, Upper West Side",Sylvie,June 26 2019,apartment next to Central park,entire home/apt
29013,70 dollars,"Brooklyn, Bedford-Stuyvesant",Angela,May 14 2019,B & B Room 1,Private room
29455,120 dollars,"Manhattan, Harlem",Laurine,June 20 2019,ACCOMMODATIONS GALORE #1,entire home/apt
29628,89 dollars,"Brooklyn, Clinton Hill",Chris,July 03 2019,Sunny Room in New Condo,Private room
29683,185 dollars,"Manhattan, East Village",Uli,June 25 2019,Stylish & Sleek Apartment Near SoHo!,entire home/apt
30031,50 dollars,"Brooklyn, Greenpoint",Sol,May 20 2019,NYC artists‚Äô loft with roof deck,private room
30927,105 dollars,"Manhattan, Lower East Side",Cs,June 14 2019,Unique & Charming small 1br Apt. LES,Entire home/apt
31130,130 dollars,"Manhattan, Hell's Kitchen",Lara,May 26 2019,Most Central Location!,Private room
31555,115 dollars,"Manhattan, West Village",Tom,July 01 2019,Luminous Beautiful West Village Studio,Entire home/apt
31902,77 dollars,"Brooklyn, Flatlands",Sunder,January 01 2019,Sanctuary in East Flatbush,Private room
31994,76 dollars,"Brooklyn, Clinton Hill",Waldemar,June 24 2019,Room with En Suite Bathroom & Deck,Private room
32023,125 dollars,"Brooklyn, Bedford-Stuyvesant",Khem,June 23 2019,FLAT MACDONOUGH,Entire home/apt
32037,135 dollars,"Brooklyn, Clinton Hill",Sahr,July 01 2019,Huge Private  Floor at The Waverly,Private room
32965,115 dollars,"Brooklyn, Bedford-Stuyvesant",Khem,June 20 2019,FLAT MACDONOUGH GARDEN,ENTIRE HOME/APT
32969,160 dollars,"Brooklyn, Williamsburg",Katherine,July 02 2019,Light filled Williamsburg Apartment,Entire home/apt
33009,195 dollars,"Brooklyn, Williamsburg",Ming,June 17 2019,Retreat in Williamsburg,Entire home/apt
33014,195 dollars,"Manhattan, East Village",Paula,June 17 2019,NYC Zen,Entire home/apt
33223,80 dollars,"Brooklyn, Williamsburg",Lulú,June 22 2019,Cozy BR in Wiliamsburg 3 Bedroom,private room
34760,44 dollars,"Brooklyn, Fort Greene",Obed,June 29 2019,Sunny Room in Old Historical Brooklyn Townhouse,Private room
35526,156 dollars,"Manhattan, West Village",Karen,June 22 2019,Sun Filled Classic West Village Apt,Private room
36133,125 dollars,"Brooklyn, Williamsburg",White,June 13 2019,Classic Artist Loft Williamsburg,Private room
36703,225 dollars,"Manhattan, West Village",Karene,March 31 2019,"Sunny, clean 1 bdrm in W. Village",ENTIRE HOME/APT
38638,219 dollars,"Manhattan, Upper East Side",Sara,June 26 2019,Light and Airy Upper East Side 1 BDR apartment,entire home/apt
39267,99 dollars,"Manhattan, Upper East Side",Marie,June 08 2019,CENTRAL PARK LOFT all for YOU,ENTIRE HOME/APT
39282,69 dollars,"Brooklyn, Williamsburg",Gus,May 28 2019,Indie-Chic Share In Williamsburg,PRIVATE ROOM
39593,79 dollars,"Queens, Sunnyside",Myung,April 12 2019,"A room w/ a Manhattan view, longer stay",PRIVATE ROOM
39704,135 dollars,"Brooklyn, Bedford-Stuyvesant",Renée,June 22 2019,"Private, Large & Sunny 1BR w/W&D",entire home/apt
41348,250 dollars,"Brooklyn, Gowanus",Syl,July 06 2019,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt
42580,70 dollars,"Brooklyn, Clinton Hill",Waldemar,June 24 2019,Parlor Room In Victorian Townhouse,Private room
42729,165 dollars,"Brooklyn, Carroll Gardens",Annette,June 18 2019,House On Henry (2nd FLR Suite),ENTIRE HOME/APT
42882,70 dollars,"Staten Island, St. George",Newyorkroomwithaview,June 13 2019,New York room with a view,Private room
43957,50 dollars,"Brooklyn, Bushwick",Tessa,June 19 2019,Sunny cozy room in Brklyn townhouse,private room
44096,40 dollars,"Bronx, Highbridge",Waundell,July 04 2019,Room with a View,PRIVATE ROOM
44212,125 dollars,"Manhattan, East Village",Bruce,June 23 2019,West Inn 2 - East Village,Private room
44221,196 dollars,"Manhattan, Financial District",Coral,June 20 2019,Financial District Luxury Loft,Entire home/apt
44229,110 dollars,"Brooklyn, Fort Greene",Carol,June 24 2019,BROOKLYN VICTORIAN STYLE SUITE.....,Private room
44288,170 dollars,"Manhattan, West Village",Sara,June 01 2019,Your own Lovely West Village Studio,entire home/apt
44506,165 dollars,"Manhattan, Harlem",Laurine,May 26 2019,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt
45556,65 dollars,"Brooklyn, Fort Greene",Doug,June 30 2019,"Fort Greene, Brooklyn: Center Bedroom",Private room
45910,350 dollars,"Queens, Ridgewood",Mark,May 12 2019,Beautiful Queens Brownstone! - 5BR,entire home/apt
45936,99 dollars,"Manhattan, Morningside Heights",Rahul,May 14 2019,Couldn't Be Closer To Columbia Uni,Private room
45940,200 dollars,"Brooklyn, Williamsburg",Miyoung,April 08 2019,Bright Spacious Luxury Condo,Entire home/apt
46544,150 dollars,"Brooklyn, Park Slope",Monica,June 05 2019,Park Slope haven 15 mins from Soho,Entire home/apt
46723,90 dollars,"Brooklyn, Bedford-Stuyvesant",Marylyn,May 19 2019,SAFE  AND BEAUTIFUL ACCOMODATION,PRIVATE ROOM
46911,120 dollars,"Brooklyn, Prospect Heights",Kathleen R.,June 24 2019,Large Room in private Brownstone in Park Slope,Private room
